Адрес обращения,Дом,Дата,текст обращения,street
бульвар Гидростроителей,14,2021-06-14 19:25:10.736,"Освещение во дворах, мало мест для отдыха",освещение
улица Калинина,110,2021-06-09 20:09:00.627,-,освещение
улица Коммунистическая,24,2021-06-09 11:50:59.288,Озеленить придомовую территорию,зелёные насаждения
улица Молодежная,5,2021-06-07 20:09:27.433,Ремонт в подъезде,пандус
улица Короленко,6А,2021-06-05 22:25:01.427,парк,парк
проспект Мира,21А,2021-06-09 10:37:32.615,сделать дорогу до пятерочки и парковку отдельную для машин,парк
улица Константина Иванова,86,2021-06-07 15:32:35.368,"по предыдущим наказам 2020 года ничего не сделано. Дом считается аварийным, под снос. Жильцов не считают за людей, не переселяют",пандус
улица Университетская,28,2021-06-13 11:34:34.175,Убрать вентиляционные трубы от подземных гаражей. ,освещение
проспект Геннадия Айги,15,2021-06-17 11:46:36.579,Ремонт в подьезде,пандус
проспект Тракторостроителей,67,2021-06-10 00:41:14.651,"Снизить пенсионный возраст, пересмотреть условия получения звания ""Ветеран труда"", повысить пенсии",пандус
улица Эльгера,32А корп. -,2021-06-12 14:13:29.823,Сделать детскую площадку,детский городок
улица Терешковой,5,2021-06-10 13:53:19.669,"Плохие дороги после ремонта, требуется ремонт подъезда, замена окон.",брусчатка
улица Винокурова,49,2021-06-05 22:22:01.096,"Ремонт подьезда, детскую площадку",детский городок
улица Кадыкова,13,2021-06-08 11:31:40.510,Детская площадка. Улучшить качество дорог.,аллея
улица Т.Кривова,11/1,2021-06-04 14:11:09.020,"Прошу провести ремонт в подъезде №4 по адресу ул. Т.Кривова, дом 11/1.",освещение
улица Комсомольская,8,2021-06-14 19:15:58.394,Ремонт дороги,пандус
улица Лукина,1,2021-06-13 12:06:02.690,"Озеленить территорию придомовую, достроить школу ",зелёные насаждения
улица Кукшумская,9,2021-06-11 21:15:34.548,прошу асфальтировать тротуар по улице Кукшумской до ботанического сада,асфальтовая дорожка
улица Короленко,16,2021-06-06 00:29:00.384,"спортивную площадку

для самокатов и велосипедов дорожки, теннисные столы...)
аллея
скамейки с урнами по дороге на залив+туалеты на заливе и по городу
тротуар по Б.Хмельницкого заасфальтировать до конца (дальше от кафе Фея)
запретить оставлять машины на обочинах по ул.Короленко д.16
снести сараи напротив 14-12 домов, вместо них аллею и парк

",спортивная площадка
проспект 9-й Пятилетки,28 корп. 39,2021-06-12 21:22:52.921,"Привести в порядок дорогу возле дома
Нет парковочных мест для авто",освещение
улица Композитора А.М.Токарева,4,2021-06-07 20:38:19.480,Благоустроить спуск к Волге,пандус
улица Ленинского Комсомола,80,2021-06-09 23:31:42.003,"Установить видеонаблюдение, обновить детскую площадку, сделать асфальт перед домом, современная скамейка возле подъезде",освещение
улица Эльгера,13,2021-06-04 15:48:03.683,"Благоустройство дома, замена труб, т.к все в аварийном состоянии. ",освещение
проспект Мира,68,2021-06-14 18:43:11.810,"1) Поставить бордюры сторцевой стороны дома
2) Поставить скамейку возле подъезда",спортивная площадка
улица Космонавта Николаева А.Г.,24,2021-06-04 18:57:44.008,Убрать блоки,пандус
улица Винокурова,57,2021-06-08 21:57:13.522,"1. Спортивные тренажеры не укреплены, не врыты в землю. Он постоянно падает.
2. Раздельный сбор отходов во всех дворах города.",спортивная площадка
улица 1-ая Путепроводная,88,2021-06-09 01:37:31.746,"Сделать дорогу, узаконить землю, провести газ",пандус
улица Хузангая,38,2021-06-11 16:54:24.614,Детскую площадку и дороги с хорошим покрытием.,детский городок
улица Чернышевского,26,2021-06-07 20:18:37.002,"Сделать кап.ремонт дороги по ул.Чернышевского, д.26",аллея
проспект Мира,21А,2021-06-09 09:42:47.957,сделать хорошую дорогу во дворе,аллея
улица Хузангая,29,2021-06-11 14:57:18.257,"Вырубить деревья около подъездов 3 и 4 по улице Хузангая, 29",брусчатка
улица Хузангая,29,2021-06-15 06:14:56.337,"Вырубить высокие деревья около подъездов 3 и 4 по ул. Хузангая, 29",аллея
проспект Тракторостроителей,67,2021-06-10 01:38:42.313,"Благоустройство НЮРа, улучшение качества медицины, увеличение пенсии",освещение
улица Энтузиастов,15,2021-06-10 16:13:59.692," ремонт дорог около д.15,17 ул.Энтузиастов",аллея
улица Энтузиастов,15,2021-07-06 12:53:05.651,"Отремонтировать дорогу во дворах по улице Энтузиастов 15,17.
",освещение
улица Винокурова,84,2021-06-11 23:44:13.476,Поставить скамейку возле 1 подъезда. Заменить мусорный (старый) контейнер у дома.,спортивная площадка
улица Ленинского Комсомола,25,2021-06-08 20:14:54.794,"Благоустройство детской площадки
Заасфальтировать аллею возле Звездного
",детский городок
улица Солнечная,32,2021-06-05 15:47:47.497,Сделать полностью бесплатным здравоохранение,пандус
улица Советская,38,2021-06-14 21:02:21.606,Ремонт в подъезде,пандус
"улица д. Чандрово, ул. Чандровская",19,2021-06-10 22:35:50.104,"Сделать ремонт клуба, заасфальтировать площадку возле клуба, сделать парк, мосты отремонтировать, колодцы почистить, облагородить кладбище",парк
улица Мичмана Павлова,22,2021-06-04 14:00:58.677,"Установить светофоры на перекрестке около церкви ""Святой Татьяны"".",освещение
улица Набережная,11,2021-06-08 07:00:56.073,"Мы очень недовольны обстановкой в школе №11. На каком основании в школе находится приемная Единой России?
ЖЭК обслуживающий 12 домов.
Не соблюдается охрана, глизиц, и здоровье школьников",освещение
улица Космонавта Николаева А.Г.,40,2021-06-07 15:58:13.175,Замена окон,освещение
улица Композитора А.М.Токарева,4,2021-06-07 20:22:30.480,Построить спуск к Волге,пандус
улица Ж.Крутовой,17,2021-06-08 17:04:47.733,"Заменить змеевик в ванной комнате так, чтобы была горячая вода и зимой и летом. Спилить ветки деревьев, заграждающие окна жильцов.",пандус
улица Советская,8,2021-06-07 16:02:14.702,Отремонтировать дорожку к 6 подъезду,брусчатка
проспект Тракторостроителей,28,2021-06-05 21:15:10.972,Отремонтировать асфальт возле 7 и 8 подъезда дома номер 28 по улице Тракторострителей.,освещение
улица Хевешская,27,2021-06-15 00:03:04.102,"закрыть котлован

благоустроитство площадку для детей",детский городок
улица П.В.Дементьева,3 корп. 1,2021-06-08 22:37:00.885,"транспорт плохо ходит, школа, парк",парк
улица Эльгера,26,2021-06-08 22:13:16.868,"Пожелание чаще проводить уборку подъездов, уличной территории около дома",освещение
улица Ашмарина,34А,2021-06-05 21:36:32.039,"Построить футбольное поле, бассейн. Открыть секции .",спортивная площадка
площадь И.Ф.Скворцова,5,2021-06-15 11:50:58.204,Благоустроить двор.,зелёные насаждения
улица Родниковая,16 Г,2021-06-06 14:47:36.602,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,аллея
улица Космонавта Николаева А.Г.,6,2021-06-07 18:54:56.897,Течет крыша после ремонта,брусчатка
улица Молодежная,7,2021-06-07 18:26:13.093,"Мешают бездомные собаки, закрыть кафе Терешкова 6а",пандус
проспект Тракторостроителей,39,2021-06-12 03:56:36.859,"Уже год течет крыша, просьба произвести ремонт, установить ограждения и сделать парковку",парк
улица Баумана,12,2021-06-10 06:21:28.835,Детские спортивные площадки,спортивная площадка
улица Социалистическая,17,2021-06-12 12:54:31.965,"Построить современную детскую площадку
Положить на проезжей части лежачий полицейский",детский городок
проспект Мира,82,2021-06-08 22:25:02.145,"Поменять окна, лифт, сделать ремонт в подьезде.",пандус
проспект Мира,82,2021-06-14 08:05:57.011,"поменять окна,лифт,сделать ремонт в подьезде.",пандус
улица Хевешская,19,2021-06-13 20:43:01.960,"неодходимо починить дорогу
установить лежачего полицейского
",место тихого отдыха
улица Парковая,17,2021-06-14 11:26:54.881,Уменьшить пенсионный возраст,пандус
улица Терешковой,8,2021-06-09 23:38:16.703,Бордюры,брусчатка
улица Совхозная (п Лапсары),23,2021-06-10 07:24:57.929,Просьба открыть новый маршрут в п. Новые Лапсары или возобновить работу маршрута 337.,освещение
улица Мичмана Павлова,62,2021-06-12 22:07:48.542,"Детский сад, площадка, дорожки, скамейки. ",аллея
улица Короленко,2,2021-06-05 22:41:40.022,"заасфальтировать двор, сделать парковочные места, раскатные ворота",освещение
улица Чернышевского,38,2021-06-08 10:35:45.922,"Благоустроить детскую площадку,оборудовать ее тренажерами, каруселями, горками,Сделать освещение на площадке для вечерних прогулок с детьми",детский городок
улица Хузангая,28,2021-06-11 18:54:27.470,Организовать движение городского транспорта после 22.00,освещение
улица Молодежная,3,2021-06-08 06:52:34.663,По улице Молодежной 3 поставить урны и скамейки,детский городок
улица Эльгера,16,2021-06-06 16:24:26.198,Хочу что бы утеплили внешние стены дома № 16 по улице Эльгера. ,аллея
улица Винокурова,71,2021-06-08 20:44:25.551,Бордюры не доделаны. Мало качели на детской площадке.,детский городок
улица Баумана,12,2021-06-10 06:23:05.120,"Переоборудовать детскую площадку, оградить, сделать во дворе лежачий полицейский",детский городок
улица Терешковой,12,2021-06-10 13:16:43.618,-,освещение
улица Восточная,20,2021-06-07 16:33:10.898,"1. Нет нормального детского комплекса для отдыха детей
2. Нет песочницы для детей
3. Восстановить д/с №46 ""Кораблик""",детский городок
улица Кукшумская,7,2021-06-11 20:26:43.892,"Благоустройство территории дома, дет. площадки и тротуара.",детский городок
проспект Тракторостроителей,78 корп. 1,2021-06-05 22:39:27.059,Построить школу в микрорайоне Лента.,пандус
улица Эльгера,17,2021-06-13 14:18:04.133,"Хотелось бы, чтобы ремонт дороги и тротуаров осуществлялось на месяц полтора в одном месте, а хотя бы за неделю. Плюс ремонт детских площадок. ",детский городок
проспект Чебоксарский,25 корп. 1,2021-06-08 23:41:23.831,Фикспрайс,пандус
бульвар Эгерский,49,2021-06-11 18:10:36.162,"В 3 подъезде нет домофона, дороги перед домом отремонтировать.",пандус
улица Байдула,5 корп. 1,2021-06-07 20:32:46.864,"Сторца дома сделать асфальт для пешеходов, (тротуар) около магазина.",асфальтовая дорожка
улица Советская,77,2021-06-08 23:34:37.906,"Парковку вокруг дома
пандус в подъезде
инвалидное место на парковке",пандус
улица 50 лет Октября,9,2021-06-14 16:29:35.556,"Сделать бордюры, поставить урны и сделать освещение у подъезда (ул.50 лет Октября д.3)",освещение
улица Эльменя,19,2021-06-04 20:36:25.574,улучшить окружающую среду,освещение
улица Чернышевского,26,2021-06-07 20:30:44.399,"1. Сделать безопасный тротуар по ул.Чернышевского, д.26
2. Отремонтировать подъезды
3. Во дворе дома нет нормальной игровой площадки",игровая площадка
улица Чернышевского,26,2021-06-07 20:34:36.789,"1. Отремонтировать тротуар и проезжую часть дороги по ул.Чернышевского, д.26
2. Сделать достойную зарплату учителям, воспитателям",аллея
улица П.В.Дементьева,3 корп. 2,2021-06-08 22:45:02.159,"озеленение, парки, школа",зелёные насаждения
улица Энтузиастов,35,2021-06-11 13:06:53.586,"Парковочные места для автомобилей, детскую площадку во дворе Энтузиастов,35",детский городок
улица П.В.Дементьева,18 корп. 4,2021-06-08 10:04:01.482,"поднять з.п., снизить цены, поднять уровень жизни",пандус
улица Декабристов,35,2021-06-05 19:39:40.635,Помогите с ремонтом в школе №23,пандус
проезд Мясокомбинатский,16,2021-06-05 18:49:48.600,"Детская площадка во дворе
",детский городок
бульвар Эгерский,5,2021-06-07 20:06:57.684,Район 3 дуба борьба с наркоманией.,аллея
улица Строителей,6,2021-06-09 23:34:20.557,"детская поликлиника со специалистом и  педиатора

ремонт дорог в районе гладкова",детский городок
бульвар Гидростроителей,2,2021-06-14 14:20:53.112,"Ремонт в подъезде, двор облагородить, дорогу асфальтировать от конной школы до смотровой площадки",асфальтовая дорожка
улица 324 Стрелковой дивизии,17,2021-06-15 11:48:20.156,Благоустроить детскую площадку.,детский городок
улица Винокурова,21,2021-06-12 21:40:13.829,Просьба посодействовать в ремонте дороги во дворе дома Винокурова 21,пандус
улица П.В.Дементьева,15 корп. 1,2021-06-09 15:06:09.156,"школу
спорт комплекс",спортивная площадка
улица Николая Гастелло,13,2021-06-08 17:49:52.805,Ремонт в подъезде,пандус
улица Хузангая,40,2021-06-11 16:41:00.293,"Поменять лифт, в песочнице нет песка.",плитка
бульвар Речной,4 корп. 2,2021-06-12 21:23:47.817,Просим вас поучаствовать в ремонте школы (замена окон),освещение
проспект Ленина,49,2021-06-07 21:40:33.253,вечерние время освещения во дворе ,освещение
улица Чернышевского,36,2021-06-08 11:32:38.986,Благоустроить двор и детскую площадку,детский городок
улица П.В.Дементьева,7 корп. 1,2021-06-09 12:46:07.301,"построить школу
дет.площадки улучшить
",детский городок
улица Короленко,16,2021-06-06 00:12:31.921,"заасфальтировать дорогу от Короленко 22 до Короленко 14, и тротуар. Отремонтировать дорогу от Короленко до Б.Хмельницкого по ул.Ватутина",аллея
улица Короленко,16,2021-06-06 00:14:55.882,"дорогу вдоль гаражей
",пандус
улица Ленинского Комсомола,18,2021-06-08 11:37:55.848,"Было обращение в отдел ЖКХ администрации Лен. района о том, чтобы убрать со стоянки брошенный транспорт и залатать дыры в асфальте (с апреля 2021 г.). Обещают сделать каждый день. Но пока результата нет.",асфальтовая дорожка
проспект Мира,21А,2021-06-09 10:35:29.374,"сделать дорогу во дворе раширить.
сделать парковку",парк
улица Винокурова,65,2021-06-08 19:38:12.914,Капремонт не делался с 1978 года. Поменять бордюры,брусчатка
улица Богдана Хмельницкого,10 корп. 1,2021-06-17 15:30:50.046,Нужен магазин. Ограждения на детской площадке отсутствует.,детский городок
улица Богдана Хмельницкого,10 корп. 1,2021-06-17 12:31:45.068,"Нужен магазин. Огородить детскую площадку от дороги. В заброшенном доме Б. Хмельницкого 4 собираются бомжи и наркоманы, боимся мимо даже ходить. Рядом с домом 12/1 и 10/1 стоит туалет вонь на всю детскую площадку, просьба убрать его.",детский городок
улица Композитора Максимова,2,2021-06-10 16:01:03.012,дет.площадка,детский городок
бульвар Приволжский,4,2021-06-07 16:47:25.082,"От института образования сделать лстницу по всем нормам с пандусами, ступеньками, периллами)",общественный туалет
бульвар Приволжский,4,2021-06-07 16:47:43.109,"От института образования сделать лстницу по всем нормам с пандусами, ступеньками, периллами)",общественный туалет
бульвар Приволжский,4,2021-06-07 16:50:00.204,"От института образования сделать лстницу по всем нормам с пандусами, ступеньками, периллами)",общественный туалет
улица Николая Рождественского,1,2021-06-07 21:49:55.205,Осенью и зимою перед школой №:6недостаточно освещения тротуаров. Дети вынуждены ходить в темноте.В микрорайоне Благовещенский не хватает дет садов и школ. ,освещение
улица Пролетарская,5,2021-06-10 02:51:55.037,"Сделать детскую площадку, озеленить двор",зелёные насаждения
бульвар Юго-Западный,14,2021-06-11 14:41:14.993,"Отремонтируйте пожалуйста дорогу при въезде во двор к дому ЮЗб 14, начиная от входа в детсад",детский городок
проспект Мира,90,2021-06-09 10:56:44.882,Хотим чтоб в этом доме поставили домофон.!!!Чтоб бомжей было меньше.,освещение
проспект Тракторостроителей,35/19,2021-06-12 08:00:57.021,Привести дом в порядок,освещение
улица Лукина,3,2021-06-14 16:58:19.230,Школа очень нужна. Сильно доделили бы з/п очень маленькие медикам и учителям,пандус
улица Репина,7,2021-06-17 13:51:18.936,"Очистить реку ""Сугутка"".  Устранить свалку.",брусчатка
площадь И.Ф.Скворцова,6,2021-06-10 17:15:24.941,Поменять трубы горячего водоснабжения.,освещение
улица Эльгера,34,2021-06-09 13:34:20.488,Сделать парковку для машин. ,парк
улица Гагарина Ю.,30,2021-06-08 13:15:52.965,"Детская площадка
Ремонт тротуара",детский городок
улица Радужная,10,2021-06-07 15:46:16.840,Установить лежачие полицеские в мкр.Радужный,общественный туалет
улица Красина,4,2021-06-06 00:23:03.307,Благоустройство дворовой территории по адресу  ул. Красина 4.,освещение
улица Социалистическая,13 корп. 1,2021-06-12 14:02:11.566,"Просим сделать кап.ремонт дома, сделать отмостку вокруг дома.
Нет благоустроенной детской площадки. Во дворе стоит травмоопасная горка",детский городок
проспект Мира,6,2021-06-07 17:51:12.626,Футбольное поле обустроить,спортивная площадка
проспект Мира,6,2021-06-07 17:49:23.639,Детская площадка,детский городок
проспект Тракторостроителей,67,2021-06-10 01:47:22.420,"Увеличение зарплат и понижения цен на продукты и лекарства, снижение ставок по ипотеке",лавочка
улица Чернышевского,14,2021-06-14 12:37:46.697,Пожелание и наказ на благоустройство дворовой территории и парковочные места для транспорта,парк
улица Ленинского Комсомола,28,2021-06-09 12:51:30.913,"1) Обновление детской площадки
2) Спил деревьев около дома, загораживающих поступление света в квартиру
3) Оборудование парковочных мест
4) Установка камер видеонаблюдения во дворе (хотя бы в рамках программы ""Безопасный город"")",детский городок
улица Советская,75,2021-06-08 23:04:21.210,"Хотим чтобы поставили урну. скамейку и желательно у входа делали ремонт, подъездах тоже.",общественный туалет
улица 10 Пятилетки,47,2021-06-04 22:43:33.150,"Ремонт подъезда, детскую площадку, спортивную площадку, скамейки за домом побольше, кустарников желательно цветущих-жасмины, сирень",спортивная площадка
улица Советская,75,2021-06-05 13:25:40.328,"Парковку срочно нужно сделать, детская площадка",парк
проспект Ленина,56,2021-06-13 18:46:40.171,благоустройство полесадников возле дома ленина 56,освещение
бульвар Речной,3 корп. 1,2021-06-09 07:08:08.379,"Просим благоустроить район пляжа и набережной. В районе Речного бульвара живет очень много семей с маленькими детьми, поэтому пляж и набережная - очень актуальная для нас тема",зелёные насаждения
бульвар Речной,3 корп. 1,2021-06-09 07:09:55.700,Широкая материальная поддержка работников образовательной среды,пандус
улица 324 Стрелковой дивизии,4,2021-06-05 18:28:48.006,"Оказать содействие в наведении тишины возле кафе ""Пожарка""",место тихого отдыха
улица Строителей,42,2021-06-09 23:43:15.684,Волнует территория двора,пандус
улица 1-ая Путепроводная,134,2021-06-09 01:40:33.550,Детская площадка,детский городок
улица Коммунистическая,34,2021-06-10 22:28:04.054,"Поставить сушилку, встряхиватель обязательно! Во дворе!",освещение
улица Эльгера,16,2021-06-17 12:31:58.186,"Детские площадки
Парковки",детский городок
улица Водопроводная,20,2021-06-08 13:57:00.719,Необходим срочный ремонт кровли дома  ул. Водопроводная 20.,пандус
улица Энгельса,5 корп. 1,2021-06-07 17:16:49.377,продолжать работать в том же направление ,освещение
улица Красина,14,2021-06-06 00:15:04.827,Очистить рощу Гузовского от мусора.,аллея
улица Шумилова,11,2021-06-11 23:32:07.458,"нужен капитальный ремонт дома, замена труб канализации",брусчатка
улица Энтузиастов,12,2021-06-10 15:23:30.299,"ужасная дорога,",брусчатка
улица Энтузиастов,12,2021-07-06 12:35:38.637,Ужасная дорога. Сделайте дорогу ровной.,пандус
улица Болгарстроя,9/11,2021-06-10 11:41:16.240,Построить парк в посёлке Альгешево. Дорогу между Альгешево и Никитиной.,зелёные насаждения
улица Космонавта Николаева А.Г.,35,2021-06-05 10:40:54.784,Установить тротуар,пандус
улица Винокурова,61,2021-06-08 19:14:49.209,"Нет тротуарной дорожки со стороны ""Континента""",аллея
улица Гражданская,92 корп. 1,2021-06-12 13:33:26.779,"Построить, оснастить детскую площадку, сделать парковочные места",детский городок
улица Первомайская,27,2021-06-08 21:11:14.419,Ремонт скамеек,спортивная площадка
улица Ленинского Комсомола,37 корп. 1,2021-06-08 17:12:58.291,Увеличить пенсию. Привести в порядок заброшенный дом во дворе ,освещение
улица Советская,14а,2021-06-12 08:17:59.924,Благоустройство детской площадки у дома,детский городок
улица Терешковой,22,2021-06-07 17:44:30.929,В семье ребенок-инвалид. Требуется помощь,детский городок
улица Афанасьева,9 корп. 1,2021-06-04 22:42:56.761,"Обезопасить ограждения возле школы №2, достроить там же тротуар.",пандус
улица Космонавта Николаева А.Г.,22,2021-06-06 19:57:24.036,"Детская площадка
",детский городок
улица И.П.Прокопьева,20,2021-06-07 23:32:47.099,Ремонт дорог в Урмарском и Янтиковском районах. Просьба пособий.,пандус
проспект Максима Горького,30,2021-06-07 18:55:35.702,Не забывать свою основную работу в ортопедическом центре и выводить его на мировой уровень!,освещение
бульвар А.Миттова,3 корп. 1,2021-06-11 13:45:04.248,"Сделать тротуары, отремонтировать детские площадки, открывать больше магазинов, больше парковок",детский городок
проспект Тракторостроителей,43,2021-06-16 15:19:00.050,Во дворе дома 43 ремонт асфальта,асфальтовая дорожка
улица Ашмарина,34А,2021-06-05 21:54:46.652,Ремонт дорог. Открыть баню.,пандус
улица Хевешская,11 корп. 2,2021-06-09 11:25:54.356,"хевешская 11 к 2
не делают дороги, тратуары
нет освещения и опасно ходить по вечерам",игровая площадка
улица Советская,55,2021-06-08 21:16:33.580,"-Озеленение
-Детская площадка
-Спортивный комплекс",зелёные насаждения
бульвар Солнечный,14,2021-06-06 09:34:46.513,Построить школу. Поставить светофор возле дома номер 14.Построить Фок. Построить стадион.,спортивная площадка
улица Александра Фадеева,25,2021-06-05 16:56:15.782,Сделать дорогу.,пандус
бульвар Эгерский,25,2021-06-11 22:50:12.424,Срубить липу возле подъезда 9 она мешает подъезжать мусоровозу,аллея
улица Эльгера,34,2021-06-12 14:38:45.741,"Благоустройсть двор ( парковочные места), машины разводят грязь! ",парк
улица Винокурова,61,2021-06-08 19:13:21.314,"Тротуарная дорожка вдоль дома со стороны ""Континента""",пандус
улица Мичмана Павлова,24,2021-06-09 09:46:17.152,Школьный бульвар и подъездная дорога к нашего дома в ужасном состоянии,аллея
улица Дзержинского,16,2021-06-05 00:29:08.393,реконструкцию балкона,пандус
улица Терешковой,4,2021-06-09 23:04:56.410,Косметический ремонт в 1 подъезде,пандус
проспект Мира,23,2021-06-09 00:07:07.580,ремонт дорог,пандус
улица 1-ая Путепроводная,48,2021-06-09 02:01:53.587,Сделать дорогу и освещение,освещение
улица Эльгера,13,2021-06-04 15:04:08.751,"В доме восстановить продуктовый магазин "" Купец"". Благоустройство двора. ",освещение
проспект 9-й Пятилетки,19/37,2021-06-11 05:38:01.084,Парковочные места во дворе,парк
улица П.В.Дементьева,18 корп. 2,2021-06-08 10:20:44.975,"построить школу, парк",парк
улица Космонавта Николаева А.Г.,24,2021-06-04 18:42:23.291,"Детская площадка
Лежачий ""Полицейский""
Фонари около ""Малютки""",детский городок
улица Чернышевского,14,2021-06-07 09:58:11.927,"Парковка, детсткая площадка",детский городок
улица Энтузиастов,35,2021-06-11 13:16:09.772,"Детскую площадку во дворе дома Энтузиастов,35",детский городок
проспект Мира,36,2021-06-06 16:18:39.754,"Ремонт в подъезде
Замена  асфальта возле подъездов",асфальтовая дорожка
улица Хузангая,27,2021-06-12 19:33:46.068,На дет. площадке нет песка только камни.,детский городок
улица Хузангая,27,2021-06-12 20:36:35.700,Сделать одностороннее движение,пандус
улица Ярмарочная,27 корп. а,2021-06-08 19:16:31.701,Просим построить школу.,пандус
улица Димитрова,18,2021-06-09 01:14:03.915,"Ремонт дорог. Починить крышу, заменить трубы в подъезде. Сделать детскую площадку",детский городок
улица Ленинского Комсомола,16,2021-06-08 16:22:06.172,"Поставить мини-забор для выращивания цветов, кустарников.",зелёные насаждения
улица Советская,50А,2021-06-05 21:09:56.680,"Дороги, благоустройство площадки, инфраструктура в плане продовольствия. Остановки рядом нет.",зелёные насаждения
улица Кукшумская,7,2021-06-11 20:04:00.869,Установить нормальные почтовые ящики,лавочка
улица Цивильская,5,2021-06-04 18:54:25.033,Благоустройство асфальта возле дома,асфальтовая дорожка
улица Гражданская,72,2021-06-12 05:23:15.356,Просим сделать вас парк отдыха с детьми в ЮЗР,парк
улица Гражданская,72,2021-06-12 05:06:17.460,"Новый расширенный асфальт
Детский парк в ЮЗР
Асфальт в 50 школе",парк
улица Гражданская,72,2021-06-14 12:14:10.906,"1. Просим устранить аварийную ситуацию в виде обвала земли около бетонного колодца на прилегающей территории детского сада 130 по адресу б-р Юго-Западный,4, образовавшуюся в результате ремонта МУП Теплосеть в мае 2020г.
2. На прилегающей территории детского сада 130 по адресу б-р Юго-Западный,4, гуляют собаки, просим оборудовать площадку для выгула собак подальше от детсада
3. Просим отремонтировать проезжую часть от ЮЗ рынка до детского сада 130 по адресу б-р Юго-Западный,4",детский городок
проспект Чебоксарский,25,2021-06-08 23:37:49.014,Спуск к Волге,пандус
бульвар Зеленый,9,2021-06-05 21:52:24.573,Расширить место парковки для машин,парк
улица Советская,50А,2021-06-05 22:01:56.198,"Дороги сделаны неправильно, выезжать неудобно. Строили непрофессионалы! Окна плохие, балкон тоже. Магазина рядом нет!",сквер
улица Чернышевского,27,2021-06-14 17:44:16.826,"Нет школы
Нет банкоматов ВТб, Сбербанк
Нет козырька при выходе из подъезда на детских площадках грязь после зимы и дождя  (долгое время)",детский городок
улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 13:25:28.777,"Асфальтированная дорога
",асфальтовая дорожка
проспект Тракторостроителей,35/19,2021-06-12 07:25:36.852,"Парковка, детская площадка ",детский городок
улица Яноушека,1,2021-06-05 21:57:48.208,дет.площадку,детский городок
бульвар Эгерский,32,2021-06-07 18:52:28.584,Надоели алкоголики на этажах. Примите меры,пандус
улица П.В.Дементьева,3 корп. 2,2021-06-08 22:24:43.201,"защитить права инвалидов, повысить пособия по инвалидности",пандус
улица Молодежная,7,2021-06-07 18:19:38.955,"Не работает домофон, организация обанкротилась. Уложить асфальт позади дома, сделать водоотвод  ",асфальтовая дорожка
улица Розы Люксембург,3,2021-06-05 20:07:17.007,Лифт постоянно ломается.,пандус
улица Чернышевского,19 корп. 1,2021-06-07 22:46:30.178,Школа в Финской долине,пандус
улица Терешковой,9,2021-06-09 23:40:26.502,Ремонт,пандус
проспект Мира,21А,2021-06-09 09:48:00.804,сделать хорошую дорогу до пятерочки,лавочка
улица Социалистическая,13А,2021-06-12 12:51:18.082,Очень нуждаемся в хорошо оборудованной детской площадке во дворе нашего дома,детский городок
улица Винокурова,65,2021-06-08 20:19:42.348,Рядом с почтой нет подъездной дороги к почте. Едут через двор дома Винокурова 65. Нет ограждения в палисаднике. ,лавочка
улица 10 Пятилетки,46,2021-06-09 23:28:17.312,Благоустройство ул 10 пят-ки,освещение
проспект Мира,18,2021-06-04 21:09:06.766,"Благоустройство двора
Ремонт дорог
Спилить ветки у высоких деревьев",лавочка
улица Ярославская,42,2021-06-17 14:49:51.078,"Дом является памятником культуры, но находится в очень плохом состоянии. Требуется капитальный ремонт.",брусчатка
бульвар Солнечный,16,2021-06-06 10:27:57.265,"Построить школу, благоустроить детские площадки. Пустить транспорт, улучшить дороги.",детский городок
улица Эльгера,9,2021-06-12 17:01:35.633,"Скамейки перед подъездом. За магазином "" Магнит"" и рестораном "" Московский"" всегда грязь, так как стекает вся вода. ",аллея
проспект Мира,25,2021-06-08 21:09:53.122,повысить пенсию ,сквер
проспект Тракторостроителей,7,2021-06-07 00:44:21.052,"Благоустройство территории
Ремонт подъездов
Уменьшение тарифов ЖКХ",пандус
улица Ж.Крутовой,6,2021-06-08 16:46:50.945,Во дворе черемуха,аллея
улица Космонавта Николаева А.Г.,35,2021-06-05 11:04:06.489,"Тротуар установить
Асфальт установить возле подъездов",асфальтовая дорожка
проспект Тракторостроителей,67,2021-06-10 00:21:28.099,Вернуть пенсионный возраст,пандус
улица Мичмана Павлова,24,2021-06-09 08:31:54.628,"На школьном бульваре очень много мусора, помогите убрать",аллея
улица Советская,33,2021-06-12 09:34:24.114,"Советская д.33-41 поставить скамейку возле 4 подъезда. Ливневка - сравнять с дорогой, высоко поднята. Загородить озелен. часть газона. Привести в порядок д/площадку благоустроить. Привести земли для газ.",зелёные насаждения
улица Текстильщиков,12,2021-06-06 20:31:43.132,Ограждение мусорных контейнеров,пандус
улица Академика В.Н.Челомея,1,2021-06-08 20:49:35.450,"школа, парк",парк
