id,Тематика обращения,Дата создания,Категория,Муниципалитет ,Текст обращения
3237,После замены бордюров заблокирован пандус,2021-06-09 09:13:06,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"После замены бордюров заблокирован пандус на остановке Хлопчатобумажный комбинат (в сторону центра).
Инвалидам-колясочникам подняться невозможно, мамам с детскими колясками - крайне затруднительно."
3234,"Установка ""Лежачего полицейского"" на пересечении улиц Энгельса и 1-й Технический переулок г. Чебоксары",2021-06-08 18:12:13,Дороги,Администрация города Чебоксары Чувашской Республики,"Просим рассмотреть возможность и установить ""Лежачего полицейского"" (иску́сственная неро́вность — элемент принудительного снижения скорости транспортных средств) на пересечении улиц Энгельса и 1-й Технический переулок, с обеих сторон около пешеходного перехода в сторону дома  по ул. Н.Рождественского 1, так как рядом находится детский сад № 24 и образовательные учреждения. Переходить дорогу опасно и затруднительно,  так как большой поток автомобилей и далеко не все водители соблюдают скоростной режим, плюс ко всему дорога имеет достаточно крутой поворот из-за чего снижается видимость, как для пешеходов, так и для водителей."
3233,Нет съезда с тротуара на дорогу,2021-06-08 16:04:33,Дороги,Администрация города Чебоксары Чувашской Республики,"Ранее в 2017 году я обращался по вопросу нормального съезда с тротуара https://nk.cap.ru/claims/1180
Был дан отказ. Тротуар так и не сделан, на велосипедах и самокатах приходится каждый раз спешиваться, не говоря о ""Доступной среде для инвалидов"". На прошлой неделе, там где велосипедисты протоптали газон мимо забора владелец (или не владелец) парковки повесил ограждение, т.е. организовал препятствие. Прошу дать ответ, по какому праву ограничивается проезд велосипедного транспорта по парковке у ТД Мегаполис? Правомерно ли установлено ограждение в виде цепи, отделяющая парковку от проезда к складам, кто владелец парковки, почему она ограничена? Прошу оставить проезд для велосипедов, хотя бы этот временный мимо забора. Прошу организовать беспрепятственный проезд для велосипедов, в обеспечение СНиП 35-01-2001. Уже 5 лет ждём обещанного решения, которое не выполняется."
3232,Отсутствует пешеходный переход,2021-06-04 15:09:15,Дороги,Администрация г.Новочебоксарска Чувашской Республики,"Добрый день,
создавал два сообщения: ID 2458 и ID 2856, а воз и ныне там...
Автор: Турсинов Б. А.
Добрый день, 
создавал обращение (ID 2458):
в г. Новочебоксарск, на перекрестке улиц Винокурова и Строителей отсутствует пешеходный переход между сторонами улицы Винокурова со стороны гипермаркета ""Магнит"". Он даже на карте этого портала не обозначен. Из-за чего жителям домов, проживающих по адресам ул. Винокурова 99, 101, ул.Строителей 23\1, 23\2,23\3,23\4, 25,31 и ул. 10 Пятилетки 46а, 46б,46г приходится трижды! переходить проезжую часть, чтобы дойти от своего микрорайона до гипермаркета ""Магнит"", либо до ТЦ ""Рынок Новочебоксарский"".
Прошу принять меры и организовать пешеходный переход.

В ответе было сказано:
""При ремонте автомобильной дороги по ул. Винокурова в 2020 г., были выполнены подготовительные работы.
При наступлении благоприятных погодных условий в 2021 г. работы по обустройству пешеходного перехода будут завершены""
Более подходящих погодных условий, я думаю, уже не дождемся.

Прошу наконец то!  организацию пешеходного перехода"
3230,СЬЕЗД/ЗАЕЗД НА ТРОТУАР,2021-06-02 15:59:59,Дороги,Администрация города Чебоксары Чувашской Республики,"Около дома по Московскому проспекту 19к5 обновляют тротуар, слишком высокий тротуарный бордюр и нет заезда/сьезда для людей с колясками, инвалидов"
3228,Второй год не красят скамейки ,2021-06-01 12:56:14,Жилищно-коммунальные услуги,Администрация города Чебоксары Чувашской Республики,"В прошлом году на портале ЖКХ писал обращение..., чтобы управляющая организация покрасила скамейки и прочий инвентарь, но этого не было сделано и вот проходить второй год, кстати все ближайшие дома под управлением различных организаций уже проделали эти работы, а вот ООО ""КОМФОРТ"" даже и не думает.

Требую провести проверку и заставить управляющую компанию использовать наши деньги надлежащим образом, а именно покрасить скамейки и прочий инвентарь по адресу г. Чебоксары улица Парижской Коммуны дом №2"
3227,Строительный объект в виде детской-спортивной находится не соответствует заявленным под подпись проекту ,2021-06-01 12:49:22,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"По адресу г. Чебоксары ул Парижской Коммуны дом №2, строительный объект в виде детской-спортивной площадке не соответствует заявленным под подпись проекту. Сильно зарастает травой, что скорее всего не соответствует ГОСТ и СанПин не соблюли толщину песка по всей территории детской-спортивной площадки в 20 см песка. 

Прокуратура бездействует❗ Требую срочно принять меры по приведение детской-спортивной площадке к нормам ГОСТ и СанПин так же привести очистку по всему периметру, указанной в проектной документации, от различной травы. "
3226,"Не горят буквы вывески ""Чебоксары-Арена""",2021-06-01 11:33:15,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"В ночное время главной световой вывеске ""Чебоксары-арена"" не подсвечиваются две буквы. Объект является значимым для города, привлекающим внимание жителей и гостей города. Это портит вид и общее впечатление о городе, его благоустройстве и уровне жизни."
3225,"Воду горячую отключили до 27го, сегодня 30е, а воды всё нет ",2021-05-30 20:15:42,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"В нашем доме отключили горячую воду с 24 по 27е мая, но сегодня уже 30е мая, горячей воды нет, информации когда дадут тоже нет! В соседних домах воду подали 28го"
3224,свалка ,2021-05-29 07:22:10,Экология,Администрация города Чебоксары Чувашской Республики,Перекресток ул Фадеева и ул.Магницкого свалка постоянно .Изо дня в день все завалено мусором.Делайте что нибудь.Четыре контейнера для такого микрорайона очень мало.Поставьте на перекрестке ул.Боголюбова и ул. ФАДЕЕВА  еще контейнера.
3223,Понтон на набережной,2021-05-28 08:45:46,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Добрый день! Когда будет установлен понтон на Московской набережной?
3222,Пешеходный переход,2021-05-27 20:36:02,Дороги,Администрация города Чебоксары Чувашской Республики,Добрый день! Просьба грамотно организовать пешеходный переход на перекрестке напротив домов И.Прокопьева 4 и Новогородская 19. Аллея заканчивается и начинается без логического продолжения пешеходного перехода. Существующее направление пешеходного перехода (зебра) неудобно.
3221,Тротуар,2021-05-27 20:25:59,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Возле школы, рядом со входом на территорию сломан тротуар, развалилась тротуарная плитка."
3220,Яма на детской площадке,2021-05-26 18:03:45,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"На новой детской площадке яма, видимо со дня постройки детской площадки. Бегают дети глядишь кто нить да навернется в нее."
3219,Установка вышки сотовой связи теле2 без согласования с жителями вблизи жилых домов,2021-05-26 12:51:19,Связь,"Министерство цифрового развития, информационной политики и массовых коммуникаций Чувашской Республики","Помогите решить проблему, устанавливают вышку вблизи жилых домов, люди не были оповещены, не проведено согласование с жителями деревни. Глава администрации Вурнарского района даже не приехал пообщаться с жителями, значит на людей и их мнение наплевать. Приехала лишь полиция чтобы разогнать людей, жительнице стало плохо. Просим помощи т.к. рядом детская площадка и жилые дома, ДЕТИ! Пусть переносят вышку в промзому!"
3191,Провал ливневой канализации,2021-05-26 08:31:19,Дороги,Администрация города Чебоксары Чувашской Республики,Между домами 1к1 и 4б по улице Радужная провал ливневой канализации
3217,Некачественный ремонт,2021-05-25 18:14:22,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"В ответ на письмо 20.05.2021 Е-5191 сообщаю, что был произведен некачественный ремонт остановочного павильона общественного транспорта. 
Ранее были чистые и прозрачные окна, в результате ремонта заменили на мутные и исписанные надписями. Просьба устранить недостатки ремонта - вставить чистые и прозрачные."
3215,Бригада Ладыкова построила с нарушениями❗❗,2021-05-24 16:14:51,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Здравствуйте по адресу улица Парижской Коммуны д. 2 в подъезде №5 постоянно возникают проблемы с канализацией, хотя в других подъездах №1,2,3,4, такого нет и не было❗ Срочно решите этот строительный недостаток стоит сильная вонь и антисанитария. "
3214,Во время дождя вода поступает на лестничную площадку,2021-05-23 22:42:10,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Во время дождя, вода идущая по трубе с крыши, поступает на лестничную площадку первого этажа. Протекает труба левневой канализации. По адресу Чебоксары, улица Гражданская, дом 66, 4 подъезд"
3213,Огромная лужа в Парке Победы,2021-05-22 17:31:18,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Уже много лет подряд возле танков и орудий две большие лужи, они мешают подходить близко и ознакомиться с предметами доблести нашей славы. Лужи очень долго сохнут и представляют опасность для маленьких детей, детей постарше с различным транспортом они тоже привлекают и они катаясь на высокой скорости, подвергаются опасности. Просим принять меры и выровнять асфальт в одном из главных парков города"
3212,Аварийное состояние детского игрового комплекса,2021-05-22 13:22:48,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Аварийное состояние детского игрового комплекса, отсутствует доска покрытия на высоте более метра. Игровой комплекс напротив ТД овас"
3210,Просим помочь ,2021-05-21 14:31:17,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Здравствуйте мы жители дома ул Ленинского комсомола д 38 . Просим оборудовать нам детскую площадку к нам ходят с 4 домом дети играть не где все ржавое . 
3209,Просим помочь ,2021-05-21 14:15:44,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Здравствуйте мы жильцы дома ул Ленинского комсомола д 38.Просим помочь нам сделать ограду возле дома она у нас с канализационных труб сделано . Сколько куда не писали все только обещают . За домом на детской площадке сделали парковку просим разобраться детям играть не где стоят машины .
3208,Заправка возле дома,2021-05-20 19:04:15,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Санитарная зона 30 метров не соблюдена. Просим решить вопрос со сносом
3207,"Обещали отремонтировать дорогу, но не выполнили",2021-05-20 12:10:55,Дороги,Администрация Чебоксарского района Чувашской Республики,"Повторно обращаюсь по ремонту дорог по ул.Тепличная и ул.Байдеряковская в пгт Кугеси Чебоксарского района. Обещали отремонтировать дорогу до 15 мая, но не выполнили обещание. Исходное обращение по ссылке https://nk.cap.ru/claims/3133"
3206,Дорога в ужасном состоянии,2021-05-20 12:05:05,Дороги,Министерство транспорта и дорожного хозяйства Чувашской Республики,"В прошлом году писал по поводу выезда на основную дорогу на метановой заправке АГНКС(ООО ""Газпром газомоторное ттопливо) на Вурнарском шоссе, 42(выезд с заправки). В этом году ситуация такая же, дорога в ужасном состоянии, неужели не можете повлиять на них? В прошлом году просто засыпали щебнем, без укладки асфальтового покрытия, в этом году снова ямы, автобусы выезжают с заправки со стороны въезда, так как застрянут в этих ямах. Большегрузы разворотили весь выезд на основную дорогу! Территория плохо убрана, мусор разбросан в посадке(на выезде)."
3205,Приостановите работы на пандусе,2021-05-20 12:02:32,Дороги,Администрация города Чебоксары Чувашской Республики,"Срочно приостановите работы по устройству пандуса, пока не поздно!
Даже по виду ребят понятно что они искренне не понимают что делают и как должен быть сделан пандус. О существовании СП-59 явно никто не знает, или делают без проекта. Там и так уже нагородили хоть плач, хоть в Ютуб  снимай.
 Сделайте как положено, плохо само получится!"
3204,Загажен лес! Мусор! Свалки!,2021-05-20 10:36:06,Экология,Администрация города Чебоксары Чувашской Республики,"Добрый день! Лес, граничащий с садовым товариществом ""Колос"", что в Юго-Западном районе г.Чебоксары, полностью загажен мусором, везде стихийные свалки и мусор. Просьба обязать управление садового товарищества ""Колос"" очистить прилегающую территорию леса от мусора,  поскольку этот мусор по большей части формируется от деятельности дачников. Также в данном садовом товариществе большая часть участков, расположенных по правую сторону от подъема в Северо-Западный район, заброшены. В этой стороне везде ветхие разрушенные здания, мусор, опасность возникновения пожаров, поскольку в непосредственной близости от данного места шашлычники часто разжигают костры и мусорят везде. В садовом товариществе не замечены мусорные баки. Просьба организовать осмотр территории, очистку территории и взять данный вопрос под контроль. Просьба сообщить о результатах."
3203,Ужасное состояние дорожного покрытия,2021-05-19 11:52:01,Дороги,Администрация Цивильского района Чувашской Республики,"Единственная дорога, которая ведет в деревню Большое Тугаево из Цивильска каждый раз в межсезонье превращается в кашу, а еще и прошлогоднее расширение дороги возле Сниьял-Котяки положило начало разрушения  уже имеющегося асфальта, когда по этой дороги все кому не лень начали объезжать пробку и неважно сколько ты весишь...
В прошлом году я уже писал обращение, мне сообщили что в 2020 году пересмотрят бюджет, хотелось бы узнать состояние заявки"
3202,Испортили обувь в ремонте и очень хотят пообщаться с вами! ,2021-05-19 08:13:30,Бизнес,Министерство экономического развития и имущественных отношений Чувашской Республики,"Ремонт обуви находится по адресу проспект Мира 26. Просила поставить заплатку, сказали будет не заметно,красиво в цвет обуви. На деле на лицевой стороне куча клея и стыки не совмещены. Но самое страшное - заплатка белого цвета! У них был мой номер телефона, но они не стали советоваться, потому что у них все равно ""не было черной кожи"". Я считаю что это носить не возможно, но переделывать или возвращать деньги они не согласились. За то очень желали пообщаться с народным контролем. Пожалуйста, объясните им что свою работу надо делать качественно и не относится к своим клиентам как к отбросам, которым можно портить вещи без наказанно. Я хочу чтобы у нас в сфере обслуживания было взаимное уважение. Благодарю! "
3201,Не работают туалеты,2021-05-16 21:02:57,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Когда заработают стационарные туалеты на Афанасьевском пляже? Для кого их построили?
3200,После сноса мет гаражей по дорожному проезу,2021-05-14 08:49:57,Экология,Администрация города Чебоксары Чувашской Республики,мусор колёса хлам 
3199,Отсутствие освещения и разбитый тротуар,2021-05-14 00:25:42,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Здравствуйте!
Благодарю вас за своевременное решение предыдущих вопросов: вырубка потенциально опасных к падению деревьев по ул. Энгельса, а так же с решением вопроса с проваливающимися колодцами по этой же улице (правда не до конца решился вопрос, щебенка лежит).
Далее прошу рассмотреть:
В парке и по периметру Центральной библиотеки по проспекту Ленина темно и опасно. Фонари высокие, как на шоссе, свет теряется среди крон деревьев. Маргиналы бухают. Вы писали, что библиотека решает включать свет. Мне им писать? или вы, как вышестоящий орган им настоятельно рекомендуете свет включать? По какой причине они оставляют парк без освещения при наличии осветительных приборов?
У нас вообще беда с освещением парков: фонари с круглыми плафонами стоят в открытых пространствах и освещают небо (как при Доме Правительсва), тогда как они должны стоять в парках и отражать свет от листвы деревьев. В открытых зонах без лиственности должны стоять светильники нарпаленоого света на тротуар. 
Прошу принять во внимание данное замечание и нанять компетентного сотрудника по освещению территорий, либо работать с граммотными специалистами по освещению территорий. 
Данное письмо продублирую в разные инстанции и официальные соцсети.

Тротуар бы до дома 72 по улице Ярославской сделать от ЦУМа. В сентябре прошлого года сделали от перекрёстка до кафе. Мы, жители дома 72 по Ярославской были рады... недолго. Тут же через тротуар стали парковатся халявщики. 
Да и ещё:
На ул. Энгельса отремонтировали тротуар по нечётной стороне со стороны забора, и забыли про разрушенный тротуар напртив, чуть ниже, Энгелься 2 и 4. Фото всего этого прилагаю. Может это другой заявление?
"
3198,Возвратите туи на набережную Волги,2021-05-13 21:40:58,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Жалоба от 13.05.2021г.
 На набережной Волги были красивые туи в огромных каменных горшках.
Прошу дать информацию о возвращении красивых туй на набережную Волги."
3179,Свалка мусора,2021-05-13 12:03:02,Экология,Администрация Цивильского района Чувашской Республики,Несколько лет подряд свалка мусора у частного дома увеличивается
3197,Отвод талых вод,2021-05-13 11:19:07,Дороги,Администрация Аликовского района Чувашской Республики,"День добрый, обращался по поводу отвода талых вод в Аликовском районе в деревне Челкасы по улице Цветочная дом 10, была комиссия, обещали принять меры и был ответ, приложу в письме, прошло месяц, но никаких изменений не наблюдается, писали заявление с подписями жильцов к главе сельской администрации и к главе администрации района, но безрезультатно, вообще молчат про это. На днях к нам в переулок начали дорогу делать и и там решили сэкономить, дорогу укоротили, не доводя до 10ого дома, а  вода как текла, так и будет через наш дом, двор протекать! Если у сельской администрации такое отношение к жителям, кому жаловаться? Большая просьба проблему донести до администрации  республики!"
3196,Парковки на газонах,2021-05-13 10:28:24,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Скоро месяц после моего последнего сообщения, но парковка на газонах вокруг дома по ул. Универстетская 10 продолжает процветать.  Не смотря на обещание принять меры воздействия к нарушителям, жедневно в течении месяца наблюдаю одни и те же машины на газонах, как на персональной парковке.  Оперативность работы властей просто поражает воображение."
3195,неустойчивый сигнал теле 2,2021-05-13 08:42:55,Связь,"Министерство цифрового развития, информационной политики и массовых коммуникаций Чувашской Республики","здравствуйте .в течение 3-5 лет качество связи от теле 2 очень резко упало в альгешево.в доме связь обрывистая и скачкообразная. 1 сотовая вышка данного оператора на все село не обеспечивает качественную связь и мобильный интернет от теле 2.прошу улучшить мобильную связь и мобильный интернет по адресу село Альгешево улица лесная 35.Синьяльское сельское поселение, Чебоксарский район, Чувашская Республика, Россия, 428026
географические координаты адреса
56.057966, 47.284702 "
3194,Провалилась пешеходная дорога,2021-05-12 13:55:14,Дороги,Администрация города Чебоксары Чувашской Республики,"По ул. Ярмарочная 14, г. Чебоксары провалилась пешеходная дорога, образовалась яма. Прошу принять меры."
3193,Очередное ДТП на пешеходном переходе проспекта Айги.,2021-05-11 23:06:35,Дороги,Администрация города Чебоксары Чувашской Республики,"Очередное ДТП на пешеходном переходе (проспект Айги  выезд со дворов ДД. 10, 13к1.
Предлагаю рассмотреть на комиссии по БДД установку пешеходного перехода с кнопкой, который синхронно запретит движение сразу на обоих пешеходных переходах.
Дорогу в этом месте переходить страшно."
3192,Хамское отношение к экологии,2021-05-11 19:46:39,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Поддоны от стройматериалов лежат на газонах, на цветах"
3190,в школу не попрописке,2021-05-11 12:52:59,Социальная сфера,Министерство образования и молодежной политики Чувашской Республики,"Здравствуйте, можно ли пойти в школу не по прописке? Желаем сына отправить в школу №11 в класс где преподают Методическую систему В. И. Жохова, по адресу: ул. Гайдара, 3, Чебоксары, Чувашская Респ., 428008
Что нужно бы школа приняла нашего ребенка к себе в МБОУ «СОШ №11 » г. Чебоксары?"
3188,Отсутствие скамеек в Студенческом сквере,2021-05-11 12:16:21,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,Куда подевались скамейки? С каждым годом их становилось все меньше- теперь вообще нет! Кто отвечает за данную территорию?
3187,"свалка мусора, отсутствие уборки территории",2021-05-11 11:53:33,Экология,Администрация города Чебоксары Чувашской Республики, Свалка мусора/отсутствие уборки/ отсутствие покоса травы. Кто отвечает за территорию находящуюся вдоль Премьерского проезда? Все газоны в песке/мусоре/грязи/отходах. Жители дома  Водопроводная 11 кидают весь мусор со своей автостоянки за забор рядом с ТП №543
3186,отсутствие тротуара,2021-05-11 11:48:55,Дороги,Администрация города Чебоксары Чувашской Республики,"Внешняя сторона дома по ул. Водопроводная 7, ул. К. Иванова 81- отсутствует тротуар/асфальт"
3185,Отсутствие тротуара,2021-05-11 11:44:23,Дороги,Администрация города Чебоксары Чувашской Республики,"От магазина ""Разруб"" по ул. К. Иванова до пересечения с ул. Водопроводная- тротуара нет ВООБЩЕ! Еще в 2017 году при обращении в Администрацию Московского района и Минстрой было обещано его сделать. Прошло  более 4 лет, почему раздавать обещания удел чиновников, кто отвечает за город и его благоустройство?"
3184,Отсутствие тротуара,2021-05-11 11:35:08,Дороги,Администрация города Чебоксары Чувашской Республики,"От Ул. Афанасьева в сторону Кооперативного техникума отсутствует тротуар уже лет 30. Ямы, щебенка - да, тротуара нет"
3183,Неправильный расчет в квитанции за ЖКУ,2021-05-11 11:16:36,Жилищно-коммунальные услуги,Государственная жилищная инспекция Чувашской Республики,"Согласно ПП РФ 354, при обращении собственника в УО с замечанием о неправильном расчете в квитанции, УО обязана НЕМЕДЛЕННО проверить и переделать ( предоставить) квитанцию с правильным расчетом. Где в ФЗ, ПП РФ, НПА говорится о том, что УО могут это сделать в следующем месяце или в любой период?  Почему ГЖН не наказывает УО?
 Почему  УК не выплачивает - в случае нарушения порядка расчета платы организация должна уплатить потребителю штраф в размере 50%? Почему ГЖН не обязывает УО это сделать?"
3174,Билайн,2021-05-11 07:28:48,Связь,"Министерство цифрового развития, информационной политики и массовых коммуникаций Чувашской Республики","Последние пол года проблема со связью, а именно у оператора Билайн, в начале интернет начал плохо грузить, а сейчас вообще позвонить, дозвониться не возможно. Обращался к оператору, они ничего толкового не говорят, лучше не становится. Ладно мы дети в городе живём, а родители в деревнях, позвонить спросить как дела не можем! Не дай бог что то случиться, пожарных скорую вызывать надо будет, а дозвониться не возможно из за связи. За что им платим, когда такое твориться!"
3182,Убитая дорога,2021-05-10 17:29:10,Дороги,Администрация города Чебоксары Чувашской Республики,"Здравствуйте! 
В связи с введением одностороннего движения и сужения дороги, проходящей под ЛЭП, выезд из микрорайона Университет происходит через убитую дорогу, проходящую вдоль домов Лукина 4 и Университетская 38к3.
Данную дорогу обещали отремонтировать ещё в прошлом году, но перенесли на этот год (с наступлением благоприятных погодных условий). Прошу привести в нормативное состояние данную дорогу! "
3181,Не убрана территория за домом по адресу Горького 30  [Общежитие №1 кооперативного института],2021-05-10 09:04:01,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Просим навести порядок за домом по адресу Горького 30  [Общежитие №1 кооперативного института].  Благоустроить территорию: выронить землю, посадить траву и т.д.  Можно сделать тропинку благоустроенную, так как протоптано или вообще установить забор.  
Фотографии прикладываем. "
3180,Свалка мусора,2021-05-09 15:52:45,Экология,Администрация города Чебоксары Чувашской Республики,Куча мусора на дороге между Юго-Западным районном и северо западным. По дороге из финской долины до контура.
3178,Старые и заброшенные автомобили,2021-05-07 20:36:30,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"В г.Чебоксарах, у перекрёстка автотрассы ул. Мичмана Павлова и ул. Эльгера стоят старые и заброшенные автомобили уже несколько лет. 
Прошу принять решение и меры, чтобы убрать и сдать старые автомобили на металлолом."
3177,Сухостой на улице академика Миначева,2021-05-07 19:59:00,Благоустройство и инфраструктура,Администрация города Чебоксары Чувашской Республики,"Жалоба от 07.05.2021г.
В г.Чебоксарах на улице академика Миначева около д.21 и по ул. Лукина д. 1 посадили старые ели, и теперь они засохли. 
Прошу принять меры, и срочно спилить засохшие ели."
